,index,DATEPRD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
0,15,2014-04-22,15/9-F-1 C,24.0,289.42136166666666,106.35320895833334,182.059311875,43.34345125,107.36204979166666,37.93925125,78.93540895833333,631.47,90439.09,0.0
1,16,2014-04-23,15/9-F-1 C,24.0,270.23979291666666,107.64377895833333,171.05278208333334,47.167523125,99.18701083333333,60.756579375,70.627109375,1166.46,165720.39,0.0
2,17,2014-04-24,15/9-F-1 C,24.0,262.8427475,107.86923416666667,168.24197729166667,47.73231020833333,94.60077020833333,63.046799791666665,66.049150625,1549.81,221707.31,0.0
3,18,2014-04-25,15/9-F-1 C,24.0,255.52699520833335,107.97113708333333,165.538903125,48.53376875,89.98809208333333,64.54722916666667,61.40538625,1248.7,178063.52,0.0
4,19,2014-04-26,15/9-F-1 C,24.0,247.19905208333333,108.05203020833333,162.42224166666668,49.844502291666664,84.77681041666666,65.72369375,56.14790645833333,1345.78,192602.19,0.0
5,20,2014-04-27,15/9-F-1 C,24.0,240.736416875,108.05380395833333,159.89901979166666,50.296981875,80.83739708333333,66.93373229166667,52.20174708333333,1349.56,194496.27,0.0
6,21,2014-04-28,15/9-F-1 C,24.0,235.02093145833334,108.04163645833333,157.68322,50.735878541666665,77.33771145833333,67.84834791666667,48.707583541666665,1345.61,192899.71,0.0
7,22,2014-04-29,15/9-F-1 C,24.0,232.74371041666666,107.987806875,156.794893125,50.11391979166667,75.94881729166667,65.70691916666667,47.375714583333334,1279.46,184900.31,0.0
8,23,2014-04-30,15/9-F-1 C,24.0,233.29777791666666,107.89323895833333,157.179385,48.92679020833334,76.11839291666666,62.795643958333336,47.61060354166667,1225.62,177107.86,0.0
9,24,2014-05-01,15/9-F-1 C,24.0,231.0888975,107.87692229166667,156.39897770833332,48.93862895833333,74.68991979166667,62.376834375,46.195843333333336,1212.9,174608.88,0.0
10,25,2014-05-02,15/9-F-1 C,24.0,231.41900520833335,107.81687916666667,156.69023791666666,48.303704583333335,74.72876729166667,60.747315625,46.15029979166667,1074.04,154870.67,0.0
11,26,2014-05-03,15/9-F-1 C,24.0,230.76554520833332,107.79546708333334,156.60596666666666,48.17349875,74.15957854166666,60.627934375,45.73272291666667,1044.17,147929.93,0.0
12,27,2014-05-04,15/9-F-1 C,24.0,230.595831875,107.76431541666666,156.687604375,47.466087916666666,73.9082275,58.279021666666665,45.491345,970.2,139378.45,0.0
13,28,2014-05-05,15/9-F-1 C,24.0,229.423676875,107.77973166666666,156.42926291666666,47.84001958333333,72.99441395833334,54.9047225,44.54851,946.12,136980.49,0.0
14,29,2014-05-06,15/9-F-1 C,24.0,225.9024775,107.86022020833333,154.95086020833332,49.00558229166667,70.95161729166666,58.882811458333336,42.44995395833333,1002.83,144950.15,0.0
15,30,2014-05-07,15/9-F-1 C,24.0,225.76834875,107.83816541666667,155.05853583333334,47.920399583333335,70.70981291666666,57.42564229166667,42.048938541666665,925.31,135000.24,0.0
16,31,2014-05-08,15/9-F-1 C,24.0,225.68692270833333,107.821048125,155.14190229166667,47.296947708333335,70.54502041666667,57.655958125,41.15918895833333,913.86,127564.51,0.0
17,32,2014-05-09,15/9-F-1 C,13.83334,227.79783849312602,107.5994551584939,156.85221704868093,29.13358708333333,70.94562144444508,55.95530239297234,41.74523020964568,176.8,24322.7,0.0
18,33,2014-05-10,15/9-F-1 C,24.0,226.06091479166668,107.68369,155.16497145833333,48.13438479166667,70.89594333333334,57.37377854166667,41.90457979166667,944.19,52162.58,0.0
19,34,2014-05-11,15/9-F-1 C,24.0,225.09668541666667,107.836451875,155.16161875,47.49388729166667,69.93506666666667,58.024333541666664,41.48348958333333,823.41,117731.72,0.0
20,35,2014-05-12,15/9-F-1 C,24.0,226.02269270833332,107.77166645833333,155.79650583333333,46.93359,70.226186875,56.88541625,41.80654479166667,769.01,111238.01,0.0
21,36,2014-05-13,15/9-F-1 C,24.0,226.90499510638298,107.71747319148936,156.57676718971632,46.335198958333336,70.32822791666666,54.25530875,41.925575,740.8,107144.4,0.0
22,37,2014-05-14,15/9-F-1 C,24.0,225.57624978723405,107.74143479166666,156.2037677039007,45.162089583333334,69.37248208333334,54.99535708333333,40.98107625,713.24,102880.55,0.0
23,38,2014-05-15,15/9-F-1 C,24.0,225.89259895833334,107.70935872340425,156.82564125,46.31644395833333,69.06695770833333,48.59812458333333,40.65059895833333,743.83,106745.44,0.0
24,39,2014-05-16,15/9-F-1 C,24.0,225.70079787234042,107.71023416666667,157.10794391400708,46.34614208333333,68.59285395833334,48.37775479166667,40.13814,736.09,104864.02,0.0
25,40,2014-05-17,15/9-F-1 C,24.0,223.60251041666666,107.77769229166667,156.346404375,47.08721125,67.25610604166667,53.92077354166667,38.839852083333334,782.88,110078.32,0.0
26,41,2014-05-18,15/9-F-1 C,24.0,220.10196229166667,107.88902957446808,154.69510125,47.769806875,65.40686104166667,53.83151333333333,36.990086875,834.68,117387.58,0.0
27,42,2014-05-19,15/9-F-1 C,24.0,220.49043893617022,107.86042291666666,155.1761033111702,47.13594875,65.314335625,55.75360791666667,36.90605083333333,788.8,109517.37,0.0
